batter_1,batter_2,runs,wicket,season,not_out,grade,date,opposition,venue,match_id
L Nelson,J McAuliffe,87,3,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
L Nelson,Chris Popoff,80,2,1994,No,,5 Dec 1994,Coolbinia Yokine,Juniper Reserve,653649
L Nelson,Chris Popoff,78,2,1994,No,,26 Nov 1994,Greenrange,Selby Street,604631
Dennis Freind,Graham Butler,76,4,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
J McAuliffe,M Marzeck,51,4,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
Dennis Freind,Ron Gillespie,49,3,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
J McAuliffe,Tony Carrier,44,7,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
L Nelson,Chris Popoff,28,2,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
L Nelson,Tom Tapping,25,1,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
L Nelson,Christopher Jebb,21,4,1994,Yes,,26 Nov 1994,Greenrange,Selby Street,604631
L Nelson,Tom Tapping,20,1,1994,No,,5 Dec 1994,Coolbinia Yokine,Juniper Reserve,653649
Graham Butler,Shane Ferdinadus,16,7,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
J McAuliffe,Michael Cope,14,8,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
Graham Butler,Mark Butler,14,8,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
Graham Butler,Ian Blake,13,5,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
J McAuliffe,Graham Bowman,12,6,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
Dennis Freind,Gino Giamboi,6,1,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
Graham Butler,Paul McNamara,3,6,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
Graham Butler,David Separovic,3,10,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
J McAuliffe,Christopher Jebb,2,5,1994,No,,12 Nov 1994,Mt Lawley Inglewood CC,Juniper Reserve,653652
Dennis Freind,Darren Mackie,0,2,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
Graham Butler,Gary Freind,0,9,1994,No,,19 Nov 1994,Innaloo Sportsman,Yaluma Park,604632
Tom Tapping,L Nelson,0,1,1994,No,,26 Nov 1994,Greenrange,Selby Street,604631
Kyle Adams,John Cottier,118,1,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Tim Reid,Matthew Duffy,107,3,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Keith DeSilva,Graeme Dennis,88,10,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Matthew Duffy,Evan Standley,45,4,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Geoff Colgan,Kyle Adams,32,3,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Ashley Caren,Keith DeSilva,32,8,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Kyle Adams,Robert Fay,26,6,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Kyle Adams,Stephen Clarke,25,5,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Ashley Caren,Mark ONeill,23,7,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Dennis Freind,Geoff Colgan,21,2,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Paul Dickson,Gregory Smith,17,1,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Geoff Colgan,Craig Wear,17,2,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Paul Dickson,Peter Bibby,15,6,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Gary Freind,David Separovic,12,9,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Keith DeSilva,Adam Duffy,9,9,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Chris Whyte,Gary Freind,8,9,1995,Yes,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
David Separovic,Trevor Craib,8,10,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Dennis Freind,Peter Bibby,8,7,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Kyle Adams,Bruce Stark,6,4,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Gregory Smith,Geoff Colgan,5,1,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Geoff Colgan,Paul Dickson,5,4,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Dennis Freind,Paul Dickson,4,1,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Geoff Colgan,Ron Gillespie,4,3,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Gregory Smith,Chris Whyte,4,2,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Evan Standley,Doug Osborne,4,5,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Peter Bibby,Chris Whyte,3,7,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Robert Fay,Peter Bibby,1,7,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Chris Whyte,David Separovic,1,8,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Paul Dickson,Trevor Craib,1,5,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Chris Whyte,Dennis Freind,1,6,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
John Cottier,Tim Reid,1,2,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Robert Fay,Ian Price,0,8,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Robert Fay,David Separovic,0,9,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
David Separovic,Gary Freind,0,10,1995,No,,6 Jan 1996,Innaloo Sportsman,Yaluma Park,604489
Peter Bibby,Gary Freind,0,8,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Chris Whyte,Craig Wear,0,3,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Chris Whyte,Geoff Colgan,0,4,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Chris Whyte,Ron Gillespie,0,5,1995,No,,9 Mar 1996,Innaloo Sportsman,Coolbinia Reserve #2,604441
Evan Standley,Ashley Caren,0,6,1995,No,,30 Mar 1996,Ashfield,Deschamp Reserve,604438
Geoff Colgan,Adam Bassett,108,1,1996,No,,1 Mar 1997,University,Menzies Park,604315
Dennis Freind,Brett Harris,67,8,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Stephen Clarke,Geoff Colgan,47,3,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Dennis Freind,Chris Whyte,42,7,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Dennis Freind,Ward Bond,28,9,1996,Yes,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Geoff Colgan,Dennis Freind,19,5,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Paul Dickson,Kevin Rowland,15,1,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Geoff Colgan,Adam Bassett,8,4,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Dennis Freind,Peter Bibby,2,6,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Paul Dickson,Stephen Clarke,0,2,1996,No,,12 Oct 1996,Leederville,Coolbinia Reserve #2,604435
Keith DeSilva,Alex Hall,43,1,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Evan Standley,Mark ONeill,8,6,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Evan Standley,Trevor Craib,7,8,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Evan Standley,Len Peterson,4,7,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Trevor Craib,James Bourne,1,9,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Trevor Craib,Jason Luckman,1,10,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Alex Hall,Lee Blake,0,2,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Lee Blake,Chris Henderson,0,3,1997,No,,15 Nov 1997,Floreat Hellenic,Gibbney Reserve,604270
Adam Bassett,Anthony Sinclair,142,2,1999,No,,23 Oct 1999,Osborne Park,Karrinyup Reserve,604006
Alex Hall,Adam Bassett,103,1,1999,No,,23 Oct 1999,Osborne Park,Karrinyup Reserve,604006
Ryan Kershaw,Keith Manea,52,6,1999,No,,18 Dec 1999,Noranda,Deschamp Reserve,603960
Nathan Whitney,Christopher Barnes,33,5,1999,No,,9 Jan 2000,BayswaterPostels,Robertsbridge Reserve,603946
Keith Manea,Darren Young,23,10,1999,No,,18 Dec 1999,Noranda,Deschamp Reserve,603960
Christopher Barnes,Darren Young,18,9,1999,Yes,,9 Jan 2000,BayswaterPostels,Robertsbridge Reserve,603946
Keith Manea,Anthony Burke,15,9,1999,No,,18 Dec 1999,Noranda,Deschamp Reserve,603960
Wade Carruthers,David Gulberti,9,4,1999,Yes,,23 Oct 1999,Osborne Park,Karrinyup Reserve,604006
Christopher Barnes,Anthony Burke,8,6,1999,No,,9 Jan 2000,BayswaterPostels,Robertsbridge Reserve,603946
Keith Manea,Christopher Barnes,6,8,1999,No,,18 Dec 1999,Noranda,Deschamp Reserve,603960
Anthony Sinclair,Wade Carruthers,5,3,1999,No,,23 Oct 1999,Osborne Park,Karrinyup Reserve,604006
Joshua Farmer,Nathan Whitney,5,4,1999,No,,9 Jan 2000,BayswaterPostels,Robertsbridge Reserve,603946
Ryan Kershaw,Nathan Whitney,2,5,1999,No,,18 Dec 1999,Noranda,Deschamp Reserve,603960
Evan Standley,Jeremy Davis,312,8,2000,Yes,,14 Oct 2000,Scarborough Cricket Club,Coolbinia Reserve #2,603880
Kyle Adams,Darren Holt,74,2,2000,No,,14 Oct 2000,Scarborough Cricket Club,Coolbinia Reserve #2,603880
Kyle Adams,Geoff Colgan,72,3,2000,No,,14 Oct 2000,Scarborough Cricket Club,Coolbinia Reserve #2,603880
Kyle Adams,Ross Baker,39,4,2000,No,,14 Oct 2000,Scarborough Cricket Club,Coolbinia Reserve #2,603880
Kevin Rowland,Kyle Adams,25,1,2000,No,,14 Oct 2000,Scarborough Cricket Club,Coolbinia Reserve #2,603880
Dennis Freind,Evan Standley,6,5,2000,No,,14 Oct 2000,Scarborough Cricket Club,Coolbinia Reserve #2,603880
