Player,Season,Grade,Games,Innings,Runs,NO,HS,Avg,Wickets,Overs,Runs Conceded,Bowl Avg,Catches,Stumpings,Notes
G McGahey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #210, debut 1971/72"
G McKenna,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #82, debut 1948/49"
G R Wasley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #237, debut 1976/77"
G Rawson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #83, debut 1948/49"
G Rowe,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #173, debut 1964/65"
G S Pugh,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #288, debut 1989/90"
G Stock,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
G Swayer,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1938/39
GG Wilson,Prior Seasons & Adjustments,,487,487,6474,98,86*,16.64,873,5733.1,15880,18.19,,,
GJ Smith,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #134, debut 1958/59"
GM Vincent,Prior Seasons & Adjustments,,283,292,5788,49,131,24.58,,,,,,,
GW Carr,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #450, debut 2020/21"
H Cocks,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #26, debut 1939/40"
H J Davis,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #99, debut 1951/52"
H J Steele,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #84, debut 1948/49"
H J Wilkinson,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #446, debut 2019/20"
H M Harrold,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #111, debut 1955/56"
H P Mundy,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #20, debut 1939/40"
H R James,Prior Seasons & Adjustments,,,,,,,,,,,,,,1st XI debut 1933/34
H W Wolsey,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #65, debut 1945/46"
HD Towers,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #452, debut 2020/21"
HJ Sautebin,Prior Seasons & Adjustments,,,,,,,,563,4042.1,11576,20.56,,,
I Abbasov,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #337, debut 2000/01"
I B Bowley,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #296, debut 1991/92"
I Cocks,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #72, debut 1946/47"
IJ Thamm,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #279, debut 1986/87"
IW Scott,Prior Seasons & Adjustments,,,,,,,,624,3849.3,13030,20.88,,,
J A Gray,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #93, debut 1950/51"
J A Jacobs,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #311, debut 1994/95"
J A Madalina,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #120, debut 1956/57"
J B Alton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #225, debut 1974/75"
J B Harper,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #76, debut 1947/48"
J Barnett,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #441, debut 2018/19"
J C Edginton,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #429, debut 2018/19"
J C Willoughby,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #151, debut 1961/62"
J D McNally,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #404, debut 2014/15"
J E Farmer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #398, debut 2012/13"
J Frick,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #284, debut 1988/89"
J G Patel,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #434, debut 2018/19"
J G Squire,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #92, debut 1950/51"
J Ghelani,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #422, debut 2016/17"
J H McDonald,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #8, debut 1932/33"
J Herraman,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #100, debut 1951/52"
J J Abbot,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #390, debut 2011/12"
J J D'Antini,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #381, debut 2008/09"
J J Eckermann,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #382, debut 2008/09"
J J Gaerth,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #362, debut 2004/05"
J J Richter Gilbert,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #447, debut 2019/20"
J K Millard,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #431, debut 2018/19"
J Kowalick,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #161, debut 1962/63"
J L F Ward,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #202, debut 1969/70"
J L Roberts,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #392, debut 2011/12"
J Linhardt,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #160, debut 1962/63"
J Mealor,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #9, debut 1932/33"
J Miers,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #204, debut 1969/70"
J Millar,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #15, debut 1938/39"
J Mitchell,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #176, debut 1964/65"
J Mortimer,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #180, debut 1965/66"
J O King,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #425, debut 2017/18"
J Rawes,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #141, debut 1959/60"
J Reed,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #255, debut 1979/80"
J S H Bickle,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #116, debut 1955/56"
J Sadler,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #465, debut 2023/24"
J T Birse,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #414, debut 2016/17"
J T Daunt,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #347, debut 2002/03"
J Towill,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #112, debut 1955/56"
J Trzeciak,Prior Seasons & Adjustments,,,,,,,,,,,,,,"1st XI cap #265, debut 1982/83"
