player_name,season_label,grade_label,games_played,batting_innings,batting_not_outs,batting_runs,batting_balls,batting_fours,batting_sixes,batting_high_score,bowling_overs,bowling_maidens,bowling_runs,bowling_wickets,bowling_wides,bowling_no_balls,bowling_best_figures
M Archer,Summer 2011/12,,1,,,,,,,,,,,,,,
M Kot,Summer 2011/12,,1,,,,,,,,,,,,,,
Mark Ross,Summer 2018/19,,1,1,,13,25,2,,13,2,,18,,,,0-18
Mark Ross,Summer 2019/20,,9,8,5,101,164,8,1,25,50,8,157,10,4,1,2-13
Mark Ross,Summer 2020/21,,10,10,2,93,164,11,,18,37.5,2,140,8,,,2-2
Mark Ross,Summer 2021/22,,8,8,4,107,158,11,1,29,43,7,142,4,4,5,2-31
Mark Ross,Summer 2022/23,,7,7,2,132,223,16,1,43,42,4,161,8,3,2,2-32
Mark Ross,Summer 2023/24,,8,6,3,73,140,8,,25,43,3,198,9,6,3,3-16
Mark Ross,Summer 2024/25,,12,12,9,213,307,20,1,33*,57,4,225,9,2,1,3-19
Michael Hayes,Summer 2011/12,,4,,,,,,,,,,,,,,
Michael Hayes,Summer 2012/13,,3,,,,,,,,,,,,,,
N King,Summer 2012/13,,3,,,,,,,,,,,,,,
N Stratman,Summer 2017/18,,1,,,,,,,,,,,,,,
N Tonkin,Summer 2010/11,,1,,,,,,,,,,,,,,
N Tonkin,Summer 2011/12,,5,,,,,,,,,,,,,,
N Tonkin,Summer 2012/13,,3,,,,,,,,,,,,,,
Neil Blizzard,Summer 2024/25,,16,16,6,294,289,49,,40,14,2,68,1,4,1,1-25
P Dickson,Summer 2020/21,,1,,,,,,,,,,,,,,
P Oakley,Summer 2011/12,,2,,,,,,,,,,,,,,
P Oakley,Summer 2012/13,,3,,,,,,,,,,,,,,
Peter Phyland,Summer 2012/13,,9,,,,,,,,,,,,,,
Peter Phyland,Summer 2013/14,,1,,,,,,,,,,,,,,
Peter Skrabl,Summer 2019/20,,1,1,1,17,25,2,,17*,1,,7,,,,0-7
Peter Sleep,Summer 2012/13,,1,,,,,,,,,,,,,,
Phil Clapham,Summer 2020/21,,10,10,2,165,135,29,,31,24,,95,5,10,1,2-8
Phil Clapham,Summer 2021/22,,5,4,1,63,54,6,2,43,7,,26,1,1,1,1-11
Phil Clapham,Summer 2022/23,,4,4,1,69,57,9,2,31,12,,57,1,4,1,1-13
Phil Clapham,Summer 2023/24,,1,1,,24,20,3,1,24,,,,,,,
Phil Clapham,Summer 2024/25,,11,11,3,192,155,22,6,35,21,2,102,4,4,2,1-3
Phil Forsyth,Summer 2012/13,,4,,,,,,,,,,,,,,
Phil Forsyth,Summer 2013/14,,2,,,,,,,,,,,,,,
Phil Forsyth,Summer 2015/16,,2,,,,,,,,,,,,,,
Phil Forsyth,Summer 2016/17,,11,10,5,119,220,5,,19,51,8,179,11,,3,3-24
Phil Forsyth,Summer 2017/18,,1,,,,,,,,,,,,,,
Phil Forsyth,Summer 2018/19,,8,8,2,87,184,7,,24,42.4,3,173,10,8,,2-25
Phil Forsyth,Summer 2019/20,,5,4,1,62,83,6,,31,21,1,79,2,4,,1-10
Phil Forsyth,Summer 2020/21,,5,5,3,59,105,6,,24,19,,69,5,,,2-19
Phil Forsyth,Summer 2021/22,,4,4,2,34,89,3,,19,23,2,74,6,,,3-21
R Bartlett,Summer 2010/11,,1,,,,,,,,,,,,,,
R Bartlett,Summer 2011/12,,1,,,,,,,,,,,,,,
R Cleasby,Summer 2010/11,,1,,,,,,,,,,,,,,
R Cleasby,Summer 2012/13,,2,,,,,,,,,,,,,,
R Ford,Summer 2012/13,,3,,,,,,,,,,,,,,
R Wilson,Summer 2011/12,,1,,,,,,,,,,,,,,
Ray Hastings,Summer 2023/24,,3,3,2,38,56,5,,21*,17,2,58,5,3,,3-17
Ray Hastings,Summer 2024/25,,13,10,3,108,214,15,1,25,77,4,348,8,4,1,2-25
Ray Robinson,Summer 2016/17,,3,3,2,27,64,3,,15,,,,,,,
Ray Robinson,Summer 2017/18,,1,,,,,,,,,,,,,,
Ray Robinson,Summer 2018/19,,8,8,6,76,187,10,,17,,,,,,,
Ray Robinson,Summer 2019/20,,8,8,2,27,95,,,10,,,,,,,
Ray Robinson,Summer 2020/21,,9,7,2,42,152,3,1,10,,,,,,,
Ray Robinson,Summer 2021/22,,6,5,3,35,94,,1,17*,,,,,,,
Ray Robinson,Summer 2022/23,,6,6,4,40,135,1,,12,,,,,,,
Ray Robinson,Summer 2023/24,,6,6,3,35,85,2,,17,,,,,,,
Ray Robinson,Summer 2024/25,,9,8,3,34,71,4,,20,,,,,,,
Richard Kot,Summer 2021/22,,3,3,1,102,100,7,4,40,13,1,49,1,,1,1-10
Richard Kot,Summer 2023/24,,6,6,2,148,152,16,1,40,29,,131,5,3,,2-31
Richard Kot,Summer 2024/25,,3,3,,21,33,3,,11,2,,13,1,2,,1-13
Robert Logan,Summer 2021/22,,2,2,1,14,29,,,11,0.3,,4,,,,0-4
Robert Scott,Summer 2018/19,,4,4,3,78,83,14,,28,14,,55,,,,0-1
Robert Scott,Summer 2019/20,,5,8,4,122,160,13,,27,32,5,127,5,5,,2-18
Robert Scott,Summer 2020/21,,5,4,3,57,87,8,,28,23,,107,6,2,1,2-23
Robert Scott,Summer 2021/22,,4,4,,24,79,2,,17,14.3,,72,,3,,0-14
Robert Scott,Summer 2022/23,,3,3,1,69,96,9,1,35,19.3,3,102,2,8,,1-34
Robert Scott,Summer 2024/25,,7,5,1,20,70,,,9,38.4,1,165,5,6,1,2-20
Robey Joyce,Summer 2013/14,,1,,,,,,,,,,,,,,
Robey Joyce,Summer 2015/16,,2,,,,,,,,,,,,,,
Robey Joyce,Summer 2016/17,,8,8,4,40,69,4,,13,20,1,100,3,3,2,2-24
Robey Joyce,Summer 2017/18,,1,,,,,,,,,,,,,,
Robey Joyce,Summer 2018/19,,7,7,2,32,80,4,,10,19,,98,2,6,,1-15
Robey Joyce,Summer 2019/20,,11,10,3,41,122,4,,10,32.5,,146,2,6,,1-14
Robey Joyce,Summer 2021/22,,5,4,1,24,74,1,,10,8,2,19,3,,,1-4
Robey Joyce,Summer 2022/23,,6,6,3,34,109,2,,9,18,2,84,4,4,1,2-17
Robey Joyce,Summer 2023/24,,6,6,3,22,82,2,,12,15.4,1,85,5,4,,2-18
Robey Joyce,Summer 2024/25,,7,6,1,17,105,,,4,12,,87,1,,1,1-17
Roger Beavis,Summer 2011/12,,6,,,,,,,,,,,,,,
Roger Beavis,Summer 2012/13,,9,,,,,,,,,,,,,,
Roger Beavis,Summer 2013/14,,1,,,,,,,,,,,,,,
Roger Thompson,Summer 2011/12,,1,,,,,,,,,,,,,,
Roger Thompson,Summer 2012/13,,2,,,,,,,,,,,,,,
Roger Thompson,Summer 2013/14,,1,,,,,,,,,,,,,,
Roger Thompson,Summer 2015/16,,1,,,,,,,,,,,,,,
Roger Thompson,Summer 2016/17,,6,6,5,31,82,2,,13*,12.1,,56,4,3,,4-12
Roger Thompson,Summer 2018/19,,5,2,,5,21,,,3,11,,54,3,3,,1-8
Roger Thompson,Summer 2019/20,,1,1,1,1,25,,,1*,5,,38,,3,,0-11
Ron Mcleod,Summer 2013/14,,1,,,,,,,,,,,,,,
T Hollis,Summer 2011/12,,2,,,,,,,,,,,,,,
T Hollis,Summer 2012/13,,1,,,,,,,,,,,,,,
T Wilson,Summer 2011/12,,1,,,,,,,,,,,,,,
Terry Croton,Summer 2024/25,,4,4,3,24,81,2,,8*,4,,37,1,8,2,1-18
Tim Spark,Summer 2018/19,,3,3,,24,42,3,,16,12,3,50,1,3,3,1-9
Tim Spark,Summer 2019/20,,1,1,1,16,31,,,16*,,,,,,,
Tony Bunworth,Summer 2011/12,,1,,,,,,,,,,,,,,
Tony Bunworth,Summer 2013/14,,1,,,,,,,,,,,,,,
W Bevan,Summer 2012/13,,2,,,,,,,,,,,,,,
Wayne Bell,Summer 2013/14,,1,,,,,,,,,,,,,,
